Mod,T,T error,chi,NDF,(TGE),T,T error,chi,NDF
boltz,0.19748,0.0107669,6.25E-05,7,,0.236008,0.00735986,43.0665,7
2001,0.227343,0.0128988,3.67E-05,7,,0.255737,0.00603095,14.5389,7
1012,0.275875,0.012801,3.47E-05,7,,0.297549,0.00929428,9.55123,7
1505,0.212484,0.0476605,2.82E-05,6,,0.211661,0.0370243,1.75304,6
Andr,0.772473,0.149779,3.79E-05,6,,1.35316,0.273086,1.78907,6
1805,0.138924,0.0337363,7.52E-05,6,,_,_,_,_
2001 Hag,1.77684,0.328818,3.62E-05,6,,0.126028,0.0456821,6.04515,6
Nameless,0.134831,0.0289016,3.02E-05,6,,0.0716425,0.0607843,1.75546,6
1203_1,7.48798,11.9756,3.26E-05,6,,2.72065,1.34104,1.87004,6
1203_2,0.450941,0.0325051,2.57E-05,7,,0.43501,0.0359513,1.97028,7
1203_3,0.326236,0.0484678,2.69E-05,6,,0.354503,0.193633,1.87004,6
1905_1,0.273623,0.017263,3.49E-05,7,,0.297551,0.00930683,9.55123,7
1905_2,0.141657,0.0137758,2.93E-05,6,,0.0214698,0.00322506,2.22236,6
1905_3,0.197736,0.0691064,4.3E-05,6,,0.35966,0.0888186,1.8698,6
